date,team,player,starter,minutes
2018-07-11,England,Raheem Sterling,True,73.16666666666667
2018-07-11,England,John Stones,True,111.28333333333333
2018-07-11,England,Jesse Lingard,True,90.0
2018-07-11,England,Kieran Trippier,True,115.13333333333334
2018-07-11,England,Phil Jones,False,0.0
2018-07-11,England,Marcus Rashford,False,16.83333333333333
2018-07-11,England,Harry Maguire,True,90.0
2018-07-11,England,Jordan Pickford,True,90.0
2018-07-11,England,Nick Pope,False,0.0
2018-07-11,England,Ruben Loftus-Cheek,False,0.0
2018-07-11,England,Jordan Brian Henderson,True,96.65
2018-07-11,England,Jack Butland,False,0.0
2018-07-11,England,Daniel Nii Tackie Mensah Welbeck,False,0.0
2018-07-11,England,Danny Rose,False,0.0
2018-07-11,England,Ashley Young,True,90.0
2018-07-11,England,Gary Cahill,False,0.0
2018-07-11,England,Trent Alexander-Arnold,False,0.0
2018-07-11,England,Fabian Delph,False,0.0
2018-07-11,England,Harry Kane,True,90.0
2018-07-11,England,Eric Dier,False,0.0
2018-07-11,England,Jamie Vardy,False,0.09999999999999432
2018-07-11,Croatia,Danijel Subašić,True,90.0
2018-07-11,Croatia,Dejan Lovren,True,90.0
2018-07-11,Croatia,Mateo Kovačić,False,0.0
2018-07-11,Croatia,Ivan Strinić,True,94.18333333333334
2018-07-11,Croatia,Marko Pjaca,False,0.0
2018-07-11,Croatia,Andrej Kramarić,False,0.0
2018-07-11,Croatia,Šime Vrsaljko,True,90.0
2018-07-11,Croatia,Luka Modrić,True,117.76666666666667
2018-07-11,Croatia,Ante Rebić,True,100.78333333333333
2018-07-11,Croatia,Domagoj Vida,True,90.0
2018-07-11,Croatia,Marcelo Brozović,True,90.0
2018-07-11,Croatia,Ivan Rakitić,True,90.0
2018-07-11,Croatia,Mario Mandžukić,True,114.85
2018-07-11,Croatia,Ivan Perišić,True,90.0
2018-07-11,Croatia,Vedran Ćorluka,False,0.0
2018-07-11,Croatia,Milan Badelj,False,0.0
2018-07-11,Croatia,Duje Ćaleta-Car,False,0.0
2018-07-11,Croatia,Josip Pivarić,False,0.0
2018-07-11,Croatia,Tin Jedvaj,False,0.0
2018-07-11,Croatia,Filip Bradarić,False,0.0
2018-07-11,Croatia,Lovre Kalinić,False,0.0
2018-07-11,Croatia,Dominik Livaković,False,0.0
2018-06-22,Brazil,Fernando Luiz Roza,False,1.2000000000000028
2018-06-22,Brazil,Ederson Santana de Moraes,False,0.0
2018-06-22,Brazil,Gabriel Fernando de Jesus,True,92.21666666666667
2018-06-22,Brazil,Thiago Emiliano da Silva,True,90.0
